E(MeV)  pendfb7/In113:1
9.59882835e-07  10.80306
9.68019761e-07  10.90325
9.76225665e-07  11.0075712
9.8450113e-07  11.1162419
9.90832985e-07  11.2021677
9.92846746e-07  11.2293947
1.00126311e-06  11.34706
1.00975082e-06  11.4698211
1.02043518e-06  11.6304682
1.03111954e-06  11.7982667
1.03824245e-06  11.914293
1.04050974e-06  11.9523447
1.04556634e-06  12.0369339
1.05289023e-06  12.1632527
1.06021412e-06  12.2935174
1.06753802e-06  12.4278828
1.07506856e-06  12.5704896
1.08259911e-06  12.7177983
1.08496327e-06  12.7655842
1.09012966e-06  12.8696872
1.0976602e-06  13.0265417
1.10540324e-06  13.1933844
1.11314627e-06  13.3661116
1.1208893e-06  13.5449832
1.12863233e-06  13.7302738
1.13109702e-06  13.7914209
1.13659385e-06  13.9274445
1.14455536e-06  14.1318904
1.15251687e-06  14.344127
1.16047839e-06  14.5645362
1.16301262e-06  14.6374652
1.16866455e-06  14.7997678
1.17685071e-06  15.0443847
1.18503687e-06  15.2990441
1.19322303e-06  15.5642821
1.19582876e-06  15.6518405
1.19953589e-06  15.7761389
1.20584874e-06  15.9947153
1.2121616e-06  16.2204958
1.21847446e-06  16.4537902
1.22478732e-06  16.6949256
1.22957087e-06  16.883909
1.23121893e-06  16.948885
1.23770992e-06  17.2138063
1.2442009e-06  17.4881971
1.25069188e-06  17.7725024
1.25718286e-06  18.0671926
1.25992168e-06  18.196149
1.2637349e-06  18.375375
1.27040904e-06  18.7010303
1.27708318e-06  19.0393664
1.28375732e-06  19.3910356
1.28658462e-06  19.5459534
1.29043146e-06  19.7563926
1.29710559e-06  20.1362741
1.30396806e-06  20.5431235
1.31083051e-06  20.9673656
1.31291947e-06  21.1021036
1.31769297e-06  21.4095041
1.32455543e-06  21.8708782
1.33141789e-06  22.3528432
1.33605741e-06  22.690968
1.33975126e-06  22.9684898
1.34076147e-06  23.0442632
1.34546553e-06  23.4082066
1.35016959e-06  23.7837177
1.35487365e-06  24.1712856
1.35957771e-06  24.5714255
1.36428177e-06  24.9846814
1.36790497e-06  25.3135268
1.36898583e-06  25.4114781
1.37366918e-06  25.8500993
1.37833181e-06  26.3014816
1.38299444e-06  26.7681922
1.38765707e-06  27.2509269
1.3923197e-06  27.7504217
1.39258501e-06  27.7798416
1.39698233e-06  28.2668943
1.40164496e-06  28.8016975
1.40630759e-06  29.3557396
1.41059571e-06  29.8840626
1.41108491e-06  29.9442727
1.41597693e-06  30.5694239
1.42086894e-06  31.219097
1.42576096e-06  31.8945866
1.43016377e-06  32.5270005
1.43065297e-06  32.5971955
1.43554499e-06  33.3278138
1.440437e-06  34.088671
1.44532901e-06  34.8814528
1.44973182e-06  35.6253122
1.45022102e-06  35.7078914
1.45511304e-06  36.5693485
1.46000505e-06  37.4685414
1.46367407e-06  38.1690385
1.46440787e-06  38.313833
1.46734307e-06  38.8926014
1.47101209e-06  39.6406033
1.4746811e-06  40.4142597
1.47835011e-06  41.2147558
1.4790839e-06  41.3804708
1.48201911e-06  42.0428913
1.48568812e-06  42.9003357
1.48935713e-06  43.7886064
1.49302615e-06  44.7091976
1.49375995e-06  44.9000953
1.49669515e-06  45.6631898
1.50036417e-06  46.6526483
1.50403318e-06  47.6794786
1.50770219e-06  48.7455878
1.50843599e-06  48.9670706
1.5113712e-06  49.8525547
1.51504021e-06  51.0028792
1.51822001e-06  52.0394983
1.51870922e-06  52.1988966
1.52237823e-06  53.4426048
1.52604723e-06  54.7371859
1.52947164e-06  55.9938505
1.53289605e-06  57.2997357
1.53387446e-06  57.6876578
1.53632046e-06  58.6569612
1.53974487e-06  60.0686105
1.54316928e-06  61.5378596
1.54561529e-06  62.6307431
1.54659369e-06  63.0676979
1.5500181e-06  64.6612405
1.55344251e-06  66.3226333
1.55711153e-06  68.182452
1.55931293e-06  69.3508838
1.56078054e-06  70.1294939
1.56322654e-06  71.4785712
1.56567255e-06  72.8708289
1.56811855e-06  74.3081227
1.57056456e-06  75.7924334
1.57301056e-06  77.3258274
1.57398897e-06  77.9597051
1.57545657e-06  78.9101359
1.57790258e-06  80.5477978
1.58034859e-06  82.2415161
1.58279459e-06  83.9938784
1.5852406e-06  85.8076468
1.58768661e-06  87.6857247
1.58866501e-06  88.4639109
1.59013262e-06  89.6308265
1.59257862e-06  91.6463416
1.59502463e-06  93.7360097
1.59747064e-06  95.9035154
1.59991665e-06  98.1527842
1.60236265e-06  100.487983
1.60334105e-06  101.458217
1.60480866e-06  102.91325
1.60725466e-06  105.433413
1.60970067e-06  108.053763
1.61214667e-06  110.779672
1.61459268e-06  113.616919
1.61703869e-06  116.571648
1.61801709e-06  117.803162
1.6194847e-06  119.650252
1.6219307e-06  122.859828
1.62437671e-06  126.208084
1.62682272e-06  129.703106
1.62926873e-06  133.353584
1.63171473e-06  137.168834
1.63354924e-06  140.144436
1.63538375e-06  143.22287
1.63721826e-06  146.408898
1.63905276e-06  149.707541
1.64088726e-06  153.12414
1.64247716e-06  156.192305
1.64272177e-06  156.664398
1.64455627e-06  160.334506
1.64639077e-06  164.140479
1.64822528e-06  168.089023
1.65005978e-06  172.187169
